class,category,season,top_down_target,store_plan_total,line_plan_total,class_plan_total,rate_of_sale_trend_pct,carryover_pct,new_store_units
Denim Best,Menswear,FW26,4200000,3550000,3700000,3650000,-12.5,8.0,180
Denim Core,Menswear,FW26,3100000,3050000,3120000,3080000,1.2,10.0,60
Ethnic Fusion,Womenswear,FW26,2600000,2950000,2880000,2910000,9.5,6.0,90
Festive Kurta,Womenswear,FW26,5400000,4300000,4450000,4200000,-3.0,22.0,340
Kidswear Basics,Kids,FW26,1800000,1830000,1795000,1810000,0.8,9.0,40
Winter Outerwear,Menswear,FW26,3900000,3120000,3260000,3180000,-6.5,14.0,410
Footwear Casual,Footwear,FW26,2200000,2260000,2190000,2225000,2.1,7.0,55
Accessories Core,Accessories,FW26,1500000,1620000,1580000,1600000,4.4,5.0,25
Athleisure,Sportswear,FW26,2800000,2340000,2410000,2380000,-11.0,11.0,260
Formal Shirts,Menswear,FW26,2050000,2010000,2035000,2025000,-0.5,9.5,35
